Column1,Name,Country,Sales($),Profit($),Assets($),Market Value($)
64,HDFC Bank,India,49300000000,7700000000,4.832E+11,1.336E+11
65,BBVA-Banco Bilbao Vizcaya,Spain,75200000000,9000000000,8.658E+11,63500000000
66,Sony,Japan,90000000000,6700000000,2.254E+11,1.019E+11
67,Siemens,Germany,84400000000,8000000000,1.563E+11,1.482E+11
68,Commonwealth Bank,Australia,39000000000,6500000000,8.707E+11,1.354E+11
69,Life Insurance Corp. of India,India,98000000000,4900000000,5.614E+11,73600000000
70,General Motors,United States,1.749E+11,10700000000,2.766E+11,52200000000
71,Nippon Telegraph & Tel,Japan,92500000000,8800000000,1.956E+11,82100000000
72,Credit Agricole,France,1.055E+11,6400000000,2.4185E+12,48300000000
73,Broadcom,United States,38900000000,11600000000,1.779E+11,6.466E+11
74,PepsiCo,United States,91900000000,9200000000,1E+11,2.505E+11
75,The Home Depot,United States,1.518E+11,14900000000,79200000000,3.411E+11
76,Oracle,United States,52500000000,10600000000,1.371E+11,3.394E+11
77,Mitsubishi,Japan,1.353E+11,6700000000,1.55E+11,88900000000
78,Roche Holding,Switzerland,65300000000,12800000000,1.075E+11,2.084E+11
79,Equinor,Norway,1.028E+11,9600000000,1.372E+11,82900000000
80,Elevance Health,United States,1.717E+11,6200000000,1.119E+11,1.273E+11
81,CNOOC,Hong Kong,57400000000,17500000000,1.418E+11,1.181E+11
82,Industrial Bank ,China,58900000000,10600000000,1.4192E+12,50900000000
83,Intesa Sanpaolo Assicura,Italy,42200000000,9100000000,1.0061E+12,74800000000
84,IBM,United States,62100000000,8200000000,1.372E+11,1.553E+11
85,Chubb,Switzerland,51700000000,9300000000,2.122E+11,1.114E+11
86,Itaú Unibanco Holding,Brazil,67800000000,6600000000,5.252E+11,63700000000
87,Anheuser-Busch InBev,Belgium,59400000000,5300000000,2.21E+11,1.381E+11
88,AbbVie,United States,54400000000,6000000000,1.489E+11,2.939E+11
89,Cisco Systems,United States,55400000000,12100000000,1.012E+11,1.951E+11
90,Honda Motor,Japan,1.413E+11,7700000000,1.967E+11,53700000000
91,Bank of Nova Scotia,Canada,53600000000,5800000000,1.0425E+12,59200000000
92,Hyundai Motor,South Korea,1.254E+11,9000000000,2.198E+11,47300000000
93,Enel,Italy,96000000000,4700000000,2.098E+11,75100000000
94,Cigna,United States,2.041E+11,3600000000,1.484E+11,96200000000
95,Costco Wholesale,United States,2.488E+11,6800000000,66300000000,3.529E+11
96,Munich Re,Germany,70000000000,5000000000,2.98E+11,65100000000
97,Zurich Insurance Group,Switzerland,65400000000,4400000000,3.394E+11,74900000000
98,Novartis,Switzerland,48700000000,15200000000,94300000000,2.014E+11
99,Coca-Cola,United States,46100000000,10800000000,99400000000,2.715E+11
100,GE Aerospace,United States,69500000000,3500000000,1.639E+11,1.75E+11
101,Caterpillar,United States,67000000000,11200000000,83700000000,1.742E+11
102,John Deere,United States,58600000000,9500000000,1.056E+11,1.105E+11
103,Bank of Montreal,Canada,53900000000,4000000000,9.916E+11,69100000000
104,Mizuho Financial,Japan,55100000000,4700000000,1.8413E+12,51100000000
105,AIRBUS,France,72100000000,4200000000,1.326E+11,1.367E+11
106,Intel,United States,55200000000,4100000000,1.927E+11,1.355E+11
107,Mitsui,Japan,92100000000,7400000000,1.117E+11,76800000000
108,ConocoPhillips,United States,55100000000,10600000000,95300000000,1.423E+11
109,China State Construction Engineering,China,3.174E+11,7600000000,4.104E+11,33300000000
110,NVIDIA,United States,60900000000,29800000000,65700000000,2.312E+12
111,Rio Tinto,United Kingdom,54000000000,10100000000,1.035E+11,1.192E+11
112,CITIC,Hong Kong,96100000000,8100000000,1.5977E+12,31900000000
113,RTX,United States,71000000000,3500000000,1.602E+11,1.385E+11
114,Glencore International,Switzerland,2.18E+11,4300000000,1.239E+11,76900000000
115,BHP Group,Australia,55300000000,7300000000,1E+11,1.521E+11
116,China Life Insurance,China,51600000000,6600000000,8.181E+11,47100000000
117,US Bancorp,United States,41200000000,5000000000,6.836E+11,64700000000
118,Hon Hai Precision ,Taiwan,1.917E+11,4800000000,1.179E+11,73100000000
119,Iberdrola,Spain,50500000000,6600000000,1.641E+11,83600000000
120,AstraZeneca,United Kingdom,47600000000,6300000000,1.023E+11,2.384E+11
121,Sanofi ,France,46600000000,5800000000,1.397E+11,1.215E+11
122,Unilever,United Kingdom,64500000000,7000000000,83100000000,2.168E+11
123,Ford Motor,United States,1.775E+11,3900000000,2.743E+11,49000000000
124,Capital One,United States,51000000000,5100000000,4.817E+11,54200000000
125,NAB - National Australia Bank,Australia,38700000000,4600000000,6.987E+11,71500000000
126,Apollo Global Management,United States,34700000000,5400000000,3.341E+11,89500000000
127,Visa,United States,34100000000,18100000000,92400000000,5.605E+11
128,UniCredit,Italy,26500000000,10800000000,8.754E+11,66400000000
129,Contemporary Amperex Technology,China,54300000000,6200000000,1.012E+11,1.233E+11
130,American International Group,United States,49000000000,4800000000,4.756E+11,53500000000
131,ANZ Group Holdings,Australia,40900000000,4600000000,7.109E+11,56500000000
132,VINCI,France,75300000000,5100000000,1.31E+11,71500000000
133,China Citic Bank,China,54100000000,9400000000,1.255E+12,34700000000
134,Thermo Fisher Scientific,United States,42500000000,6000000000,97100000000,2.272E+11
135,Charles Schwab,United States,25600000000,4800000000,4.688E+11,1.4E+11
136,Progressive,United States,65000000000,5800000000,88900000000,1.225E+11
137,DBS,Singapore,26200000000,7500000000,5.607E+11,75300000000
138,Marathon Petroleum,United States,1.465E+11,7900000000,85500000000,63300000000
139,PNC Financial Services,United States,32400000000,5200000000,5.662E+11,63800000000
140,Generali Group,Italy,74700000000,4000000000,5.553E+11,42000000000
141,ICICI Bank,India,28500000000,5300000000,2.835E+11,95300000000
142,Itochu,Japan,97000000000,5500000000,95700000000,67200000000
143,Westpac Banking Group,Australia,35300000000,4300000000,6.868E+11,62100000000
144,United Parcel Service,United States,89600000000,5900000000,67600000000,1.277E+11
145,Deutsche Bank,Germany,68000000000,4900000000,1.4373E+12,33600000000
146,Canadian Imperial Bank,Canada,42900000000,4700000000,7.273E+11,46300000000
147,China Shenhua Energy,China,47900000000,8600000000,90800000000,91300000000
148,Tokio Marine Holdings,Japan,48000000000,4400000000,2.123E+11,61800000000
149,NextEra Energy,United States,24000000000,7500000000,1.799E+11,1.563E+11
150,Eni,Italy,97000000000,3900000000,1.583E+11,50400000000
151,BYD,China,83200000000,4200000000,93800000000,83000000000
152,ING Group,Netherlands,24500000000,7900000000,1.1123E+12,55900000000
153,Lloyds Banking Group,United Kingdom,33100000000,5800000000,1.1238E+12,44400000000
154,Walt Disney,United States,88900000000,1700000000,1.951E+11,1.894E+11
155,Phillips 66,United States,1.489E+11,5800000000,76400000000,62400000000
156,MetLife,United States,67600000000,2400000000,6.776E+11,52800000000
157,Salesforce,United States,34900000000,4100000000,1.028E+11,2.771E+11
158,Shanghai Pudong Development,China,49700000000,5300000000,1.2526E+12,33200000000
159,Banco do Brasil,Brazil,62100000000,6000000000,4.434E+11,30900000000
160,AIA Group,Hong Kong,27500000000,3800000000,2.788E+11,93700000000
161,Merck & Co.,United States,61100000000,2300000000,1.058E+11,3.323E+11
162,Abbott Laboratories,United States,40300000000,5600000000,72500000000,1.811E+11
163,China Telecom,China,71400000000,4300000000,1.174E+11,52300000000
164,Dell Technologies,United States,88500000000,3200000000,82100000000,1.067E+11
165,Barclays,United Kingdom,31500000000,5100000000,1.9923E+12,41200000000
166,Linde,United Kingdom,32800000000,6300000000,80300000000,2.079E+11
167,FedEx,United States,87500000000,4400000000,86100000000,63300000000
168,Hitachi,Japan,67300000000,4100000000,80800000000,86100000000
169,Accenture,Ireland,64600000000,7000000000,51300000000,1.909E+11
170,Lockheed Martin,United States,69600000000,6800000000,55000000000,1.119E+11
171,L'Oréal,France,44500000000,6700000000,57300000000,2.603E+11
172,Nordea Bank,Finland,28500000000,5600000000,6.533E+11,43500000000
173,Eli Lilly,United States,35900000000,6100000000,63900000000,7.318E+11
174,KKR,United States,22700000000,4100000000,3.398E+11,92900000000
175,Philip Morris International,United States,35700000000,7900000000,65300000000,1.552E+11
176,NatWest Group,United Kingdom,33700000000,5100000000,8.811E+11,35500000000
177,Valero Energy,United States,1.401E+11,7000000000,62600000000,54300000000
178,Enbridge,Canada,31500000000,4400000000,1.409E+11,78200000000
179,JD.com,China,1.537E+11,3500000000,83300000000,55700000000
180,Bank of New York Mellon,United States,36200000000,3400000000,4.347E+11,44500000000
181,Vale,Brazil,41800000000,7800000000,91500000000,55400000000
182,GSK,United Kingdom,38600000000,5600000000,73900000000,91900000000
183,Prudential Financial,United States,58900000000,2100000000,7.258E+11,43500000000
184,Lowe's,United States,86400000000,7700000000,43400000000,1.322E+11
185,Charter Communications,United States,54600000000,4600000000,1.48E+11,39300000000
186,Honeywell International,United States,36900000000,5700000000,65600000000,1.341E+11
187,McKesson,United States,3.09E+11,3000000000,67400000000,73400000000
188,Duke Energy,United States,29500000000,3300000000,1.787E+11,80200000000
189,Qualcomm,United States,36400000000,8400000000,53200000000,2.163E+11
190,HCA Healthcare,United States,66700000000,5500000000,57000000000,84600000000
191,Medtronic,Ireland,32300000000,4200000000,90800000000,1.141E+11
192,Amgen,United States,29400000000,3800000000,93000000000,1.676E+11
193,ENGIE ,France,89300000000,2400000000,2.15E+11,41500000000
194,Southern Company,United States,25400000000,4200000000,1.401E+11,87000000000
195,CaixaBank,Spain,25200000000,5200000000,6.707E+11,39200000000
196,Manulife,Canada,26400000000,3400000000,6.304E+11,48200000000
197,Danaher,United States,26200000000,4400000000,83400000000,1.969E+11
198,Mondelez International,United States,36100000000,4300000000,77600000000,95500000000
199,Schneider Electric,France,38800000000,4300000000,65100000000,1.391E+11
200,Target,United States,1.074E+11,4100000000,55400000000,74100000000
201,Deutsche Post,Germany,87900000000,3800000000,74200000000,51300000000
202,KDDI,Japan,39800000000,4400000000,93500000000,58000000000
203,National Grid,United Kingdom,25400000000,9400000000,1.15E+11,53700000000
204,Midea Group,China,53200000000,4800000000,68900000000,65700000000
205,Novo Nordisk,Denmark,35500000000,13000000000,43300000000,5.811E+11
206,Oil & Natural Gas,India,77500000000,5100000000,80600000000,41900000000
207,América Móvil,Mexico,46800000000,3400000000,96300000000,61400000000
208,BlackRock,United States,19100000000,5900000000,1.24E+11,1.207E+11
209,PDD Holdings,Ireland,34700000000,8400000000,49100000000,1.942E+11
210,PICC,China,77300000000,3200000000,2.14E+11,30300000000
211,Netflix,United States,34900000000,6400000000,48800000000,2.677E+11
212,Brookfield Corporation,Canada,1.019E+11,1100000000,4.919E+11,73000000000
213,Qatar National Bank,Qatar,32000000000,4000000000,3.396E+11,35500000000
214,International Holding Company,United Arab Emirates,17300000000,8100000000,92200000000,2.395E+11
215,Travelers,United States,42900000000,3100000000,1.178E+11,50300000000
216,Volvo Group,Sweden,52100000000,4800000000,67300000000,54000000000
217,Union Pacific,United States,24100000000,6400000000,67300000000,1.495E+11
218,Oversea-Chinese Banking,Singapore,18600000000,5200000000,4.408E+11,48300000000
219,Swiss Re ,Switzerland,49400000000,3200000000,1.735E+11,35300000000
220,China Pacific Insurance,China,46600000000,3800000000,3.321E+11,27200000000
221,McDonald's,United States,25800000000,8600000000,53500000000,1.964E+11
222,Banco Bradesco,Brazil,61200000000,2600000000,3.908E+11,27900000000
223,Centene,United States,1.555E+11,2700000000,82600000000,41700000000
224,PayPal,United States,30400000000,4300000000,83300000000,67400000000
225,Japan Post Holdings,Japan,81500000000,1900000000,1.9736E+12,27600000000
226,Standard Chartered,United Kingdom,40100000000,3300000000,8.125E+11,25300000000
227,China Everbright Bank,China,40500000000,5700000000,9.544E+11,19700000000
228,Suncor Energy,Canada,36700000000,5800000000,65900000000,51600000000
229,SAP,Germany,34500000000,2100000000,78800000000,2.247E+11
230,Mastercard,United States,25700000000,11800000000,42600000000,4.279E+11
231,The Saudi National Bank,Saudi Arabia,16300000000,5300000000,2.859E+11,56400000000
232,China Resources Land,Hong Kong,35200000000,4400000000,1.68E+11,30000000000
233,Delta Air Lines,United States,59000000000,5000000000,75000000000,34000000000
234,KIA,South Korea,77500000000,7200000000,62100000000,32600000000
235,ASML Holding,Netherlands,28300000000,7700000000,42200000000,3.65E+11
236,General Dynamics,United States,43100000000,3400000000,55200000000,82000000000
237,Daimler Truck Holding,Germany,60700000000,4200000000,79500000000,34400000000
238,Nike,United States,51600000000,5200000000,37400000000,1.391E+11
239,United Overseas Bank,Singapore,20200000000,4300000000,3.969E+11,37600000000
240,KBC Group,Belgium,29800000000,3200000000,3.882E+11,30000000000
241,First Abu Dhabi Bank,United Arab Emirates,20800000000,4300000000,3.363E+11,36600000000
242,PTT ,Thailand,90000000000,3200000000,99800000000,26600000000
243,Canadian Natural Resources,Canada,26400000000,5500000000,56100000000,82600000000
244,Aflac,United States,19300000000,5300000000,1.246E+11,50200000000
245,Dai-ichi Life Insurance,Japan,66100000000,2200000000,4.463E+11,23100000000
246,Occidental Petroleum,United States,27400000000,4300000000,74300000000,56200000000
247,China Minsheng Bank,China,43900000000,4500000000,1.0692E+12,17200000000
248,Société Générale,France,84600000000,1900000000,1.7167E+12,20900000000
249,KB Financial Group,South Korea,36800000000,3000000000,5.439E+11,22600000000
250,Inditex,Spain,38900000000,5800000000,35600000000,1.461E+11
251,Al Rajhi Bank,Saudi Arabia,14000000000,4300000000,2.229E+11,85500000000
252,MS&AD Insurance,Japan,43000000000,2500000000,1.833E+11,28400000000
253,Air Liquide,France,29800000000,3300000000,53400000000,1.056E+11
254,Fiserv,United States,19400000000,3200000000,92700000000,89400000000
255,China Railway Group,China,1.782E+11,4500000000,2.579E+11,14500000000
256,Orange,France,47700000000,2400000000,1.256E+11,31200000000
257,Safran,France,25600000000,3700000000,55700000000,93800000000
258,Indian Oil,India,93800000000,5000000000,57800000000,27800000000
259,Emirates NBD,United Arab Emirates,20200000000,5700000000,2.349E+11,28600000000
260,EssilorLuxottica,France,27500000000,2500000000,66900000000,1.026E+11
261,Cencora,United States,2.765E+11,1900000000,63900000000,44300000000
262,SLB,United States,34100000000,4300000000,47900000000,69500000000
263,Saint-Gobain,France,51800000000,2900000000,63300000000,44400000000
264,Danske Bank,Denmark,26200000000,3200000000,5.371E+11,25100000000
265,Macquarie Group,Australia,19600000000,2200000000,2.64E+11,46600000000
266,Zijin Mining Group,China,40200000000,3100000000,49200000000,63200000000
267,TJX Cos,United States,54200000000,4500000000,29700000000,1.136E+11
268,Banorte,Mexico,27000000000,3100000000,1.441E+11,30300000000
269,Kweichow Moutai,China,18600000000,10900000000,39500000000,2.982E+11
270,Fubon Financial,Taiwan,27000000000,2100000000,3.612E+11,30100000000
271,SAIC Motor,China,1.028E+11,2000000000,1.328E+11,23100000000
272,Automatic Data Processing,United States,18900000000,3700000000,64200000000,1.033E+11
273,Kraft Heinz Company,United States,26600000000,2800000000,90300000000,43700000000
274,Holcim,Switzerland,30100000000,3400000000,62600000000,48600000000
275,ABB,Switzerland,32300000000,3600000000,41100000000,96700000000
276,EOG Resources,United States,23500000000,7400000000,44800000000,74700000000
277,Applied Materials,United States,26500000000,7300000000,31900000000,1.762E+11
278,E.ON,Germany,89800000000,1300000000,1.231E+11,36100000000
279,Denso,Japan,49400000000,2200000000,60100000000,49300000000
280,DNB Bank,Norway,18500000000,3500000000,3.592E+11,29400000000
281,Archer Daniels Midland,United States,91700000000,3000000000,54800000000,30500000000
282,Marsh McLennan,United States,23300000000,3900000000,47600000000,1.035E+11
283,Tata Motors,India,52900000000,3800000000,44400000000,43800000000
284,Sumitomo,Japan,47800000000,2700000000,72900000000,32300000000
285,Paccar,United States,35400000000,5100000000,40400000000,55600000000
286,Fairfax Financial,Canada,37900000000,3900000000,81100000000,27000000000
287,PG&E,United States,24100000000,2400000000,1.276E+11,39800000000
288,SEB AB,Sweden,17600000000,3600000000,3.862E+11,29200000000
289,Allstate,United States,58600000000,1400000000,96500000000,44700000000
290,Kroger,United States,1.5E+11,2100000000,50500000000,39100000000
291,Erste Group Bank,Austria,26100000000,3300000000,3.701E+11,20600000000
292,Axis Bank,India,16700000000,3200000000,1.82E+11,42300000000
293,Humana,United States,1.092E+11,2000000000,50100000000,42900000000
294,Ameriprise Financial,United States,16600000000,3100000000,1.798E+11,43100000000
295,Marubeni,Japan,50100000000,3300000000,59000000000,32200000000
296,Bank Of Jiangsu,China,20600000000,4100000000,5.078E+11,21300000000
297,CRH,Ireland,34900000000,3100000000,46300000000,56600000000
298,China Unicom,Hong Kong,52700000000,2700000000,93200000000,24800000000
299,Sun Life Financial,Canada,23300000000,2400000000,2.474E+11,30200000000
300,American Electric,United States,19600000000,2800000000,97700000000,48800000000
301,Banco Btg Pactual,Brazil,17000000000,2100000000,1.134E+11,78800000000
302,Northrop Grumman,United States,40100000000,2200000000,47800000000,69600000000
303,Shinhan Financial Group,South Korea,28600000000,3100000000,5.272E+11,18500000000
304,Couche Tard,Canada,68000000000,2900000000,36200000000,53400000000
305,Xiaomi  ,China,38200000000,2500000000,45700000000,63800000000
306,CK Hutchison,Hong Kong,35200000000,3000000000,1.484E+11,20700000000
307,Bank Rakyat Indonesia (BRI),Indonesia,14900000000,3900000000,1.255E+11,46500000000
308,Koç Holding,Turkey,67400000000,3000000000,96800000000,19300000000
309,"Merck KGaA, Darmstadt, Germany and its affiliates",Germany,22600000000,3000000000,53500000000,79100000000
310,Commerzbank,Germany,25700000000,2600000000,5.961E+11,19900000000
311,Meituan ,China,39000000000,2000000000,41900000000,1E+11
312,Seven & I Holdings,Japan,80100000000,1600000000,70800000000,33900000000
313,Diageo,United Kingdom,20400000000,4000000000,46800000000,79000000000
314,Eaton,Ireland,23700000000,3400000000,38500000000,1.32E+11
315,Cathay Financial,Taiwan,29000000000,1600000000,4.17E+11,25700000000
316,Ecopetrol,Colombia,32300000000,4200000000,74700000000,24900000000
317,Talanx,Germany,54000000000,1900000000,1.797E+11,20100000000
318,Starbucks,United States,36500000000,4200000000,29400000000,88200000000
319,Altria Group,United States,20500000000,8500000000,36500000000,79100000000
320,Exelon,United States,22200000000,2300000000,1.032E+11,38600000000
321,D.R. Horton,United States,37100000000,5000000000,34400000000,49900000000
322,National Bank of Canada,Canada,18200000000,2500000000,3.248E+11,28800000000
323,Discover Financial Services,United States,21600000000,2300000000,1.527E+11,31400000000
324,Nippon Steel ,Japan,61300000000,3800000000,70800000000,19400000000
325,Royal Ahold Delhaize N.V.,Netherlands,96200000000,2000000000,55200000000,29800000000
326,Lennar,United States,35100000000,4000000000,39000000000,46100000000
327,Stryker,United States,21000000000,3400000000,39400000000,1.275E+11
328,Richemont,Switzerland,22400000000,2600000000,46100000000,94400000000
329,Huaxia Bank,China,25300000000,3700000000,6.06E+11,15300000000
330,Power Corp of Canada,Canada,31400000000,1900000000,5.602E+11,19000000000
331,Repsol ,Spain,63700000000,3300000000,68200000000,19700000000
332,Bank of Ningbo,China,15800000000,3600000000,3.996E+11,23600000000
333,Gree Electric Appliances,China,28400000000,4100000000,52700000000,32200000000
334,Cenovus Energy,Canada,39500000000,3400000000,40600000000,37900000000
335,Texas Instruments,United States,16800000000,5900000000,34900000000,1.776E+11
336,RWE Group,Germany,28000000000,1900000000,1.115E+11,28100000000
337,Constellation Energy,United States,22000000000,2400000000,52000000000,67200000000
338,Møller-Maersk,Denmark,49200000000,1700000000,81600000000,26300000000
339,Renault,France,56600000000,2400000000,1.347E+11,15900000000
340,Nissan Motor,Japan,87700000000,3000000000,1.312E+11,12900000000
341,Panasonic,Japan,58800000000,3100000000,62200000000,19900000000
342,Advanced Micro Devices,United States,22800000000,1100000000,67900000000,2.658E+11
343,Hartford Financial Services,United States,25000000000,2700000000,70600000000,30500000000
344,Adobe,United States,19900000000,4800000000,28800000000,2.166E+11
345,Sompo,Japan,31700000000,2700000000,1.023E+11,20000000000
346,Uber,United States,38600000000,1400000000,39600000000,1.372E+11
347,Bank of Beijing,China,19400000000,3600000000,5.389E+11,17000000000
348,Vodafone,United Kingdom,39800000000,1200000000,1.559E+11,26500000000
349,China Railway Construction,China,1.582E+11,3700000000,2.365E+11,10200000000
350,Poly Developments & Holdings Group,China,48200000000,1600000000,1.971E+11,18500000000
351,Japan Tobacco,Japan,20200000000,3400000000,47300000000,50400000000
352,Freeport-McMoRan,United States,23800000000,1600000000,54200000000,77900000000
353,Fannie Mae,United States,1.433E+11,18000000000,4.3238E+12,1800000000
354,Nucor,United States,34100000000,4200000000,33900000000,41300000000
355,Booking Holdings,United States,22000000000,4800000000,27700000000,1.258E+11
356,Canadian National Railway,Canada,13500000000,4400000000,53500000000,81000000000
357,Corebridge Financial,United States,20800000000,2400000000,3.579E+11,19100000000
358,Tesco,United Kingdom,85300000000,1500000000,59500000000,27600000000
359,United Airlines Holdings,United States,54800000000,2700000000,71900000000,18100000000
360,BAE Systems,United Kingdom,28700000000,2300000000,40900000000,52300000000
361,HP,United States,53100000000,3400000000,35800000000,30500000000
362,S&P Global,United States,12800000000,2800000000,60500000000,1.383E+11
363,Cosco Shipping,China,24800000000,3400000000,65200000000,25900000000
364,Freddie Mac,United States,1.105E+11,11300000000,3.2874E+12,962000000
365,Sempra,United States,13600000000,2900000000,89600000000,49500000000
366,China Communications Construction,China,1.066E+11,3300000000,2.392E+11,10100000000
367,Kering,France,21200000000,3200000000,45700000000,44600000000
368,State Street,United States,18700000000,1900000000,3.38E+11,23500000000
369,Saudi Telecom,Saudi Arabia,19500000000,3600000000,42600000000,50500000000
370,China Yangtze Power,China,10700000000,3800000000,78700000000,87300000000
371,NTPC,India,21200000000,2400000000,54700000000,42500000000
372,Bank Mandiri,Indonesia,11600000000,3600000000,1.365E+11,38100000000
373,Aviva,United Kingdom,43200000000,1300000000,4.034E+11,16900000000
374,Swedbank,Sweden,13900000000,3300000000,2.88E+11,23000000000
375,Baidu,China,18800000000,2700000000,57400000000,40700000000
376,First Citizens Bank (NC),United States,14700000000,2700000000,2.178E+11,25700000000
377,Svenska Handelsbanken,Sweden,17600000000,2700000000,3.513E+11,18300000000
378,Orix,Japan,19500000000,2400000000,1.078E+11,25200000000
379,Dow,United States,43500000000,1200000000,58800000000,41600000000
380,IntercontinentalExchange,United States,10000000000,2500000000,1.314E+11,79400000000
381,Power Construction Corporation of China,China,85600000000,1800000000,1.681E+11,12700000000
382,Toyota Tsusho,Japan,70500000000,2300000000,46600000000,21700000000
383,Takeda Pharmaceutical,Japan,29500000000,996300000,99800000000,41700000000
384,Poste Italiane,Italy,22200000000,2000000000,2.932E+11,17400000000
385,Mitsubishi Electric,Japan,36400000000,2000000000,40800000000,37900000000
386,Citic Securities,China,13400000000,2700000000,2.169E+11,26200000000
387,Haier Smart Home,China,36900000000,2400000000,35700000000,37800000000
388,Kinder Morgan,United States,15100000000,2400000000,70700000000,43700000000
